MINNo,OrderNo,TDate,Item,Qnty,Price,Qnty2,Price2,VAT,GRN,LPO,Posted,Pick,Credit,UnPaid,Discount,SortOrder,Customer,RetQnty,Cash,RefNo,NetInWords,Days,Pos,ClientName,Entry,UserName,Official,JobNo,JobCard,Cancelled,B4,Curr,Company,GoodsRet,Comm,Asst,Perc,AmtRecvd,VATIncl,InvNo,InvDt,IntRef,Profit,Profit2,Other,BinLoc,IDNo,LNo,RegNo,Driver,LDate,Approved,ClientAddress,NetPrice
"3925",,"11/22/25 00:00:00","6585",1,150,0,0,0,,,0,0,0,0,0,351,341,0,1,,,-1,,,32,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3925",,"1273  -  1301",25,0,,"Z001",,,,,,0,,150
"3925",,"11/22/25 00:00:00","252000",1,150,0,0,0,,,0,0,0,0,0,353,341,0,1,,,-1,,,33,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3925",,"1273  -  1301",74,0,,"Z001",,,,,,0,,150
"3925",,"11/22/25 00:00:00","201789",2,100,0,0,0,,,0,0,0,0,0,354,341,0,1,,,-1,,,34,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3925",,"1273  -  1301",55,0,,"Z001",,,,,,0,,100
"3925",,"11/22/25 00:00:00","1010",0,1500,2,50,0,,,0,0,0,0,0,355,341,0,1,,,-1,,,35,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3925",,"1273  -  1301",0,50,,"Z001",,,,,,0,,1500
"3925",,"11/22/25 00:00:00","6100",10,10,0,0,0,,,0,0,0,0,0,356,341,0,1,,,-1,,,36,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3925",,"1273  -  1301",5,0,,"Z001",,,,,,0,,10
"3925",,"11/22/25 00:00:00","1400",94.339622,0.52999997,0,0,0,,,0,0,0,0,0,357,341,0,1,,,-1,,,37,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3925",,"1273  -  1301",0,0,,"Z001",,,,,,0,,0.52999997
"3925",,"11/22/25 00:00:00","251955",0,0,8,850,0,,,0,0,0,0,0,358,341,0,1,,,-1,,,38,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3925",,"1273  -  1301",0,200,,"Z001",,,,,,0,,0
"3825",,"11/21/25 00:00:00","6479",1,7800,0,150,0,,,0,0,0,0,0,283,341,0,1,,,-1,,,6,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3825",,"1251 - 1272",-1915.05,0,,"Z001",,,,,,0,,7800
"3925",,"11/22/25 00:00:00","771",1,45000,0,0,0,,,0,0,0,0,0,359,341,0,1,,,-1,,,39,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3925",,"1273  -  1301",8857.139999999999,0,,"Z001",,,,,,0,,45000
"3825",,"11/21/25 00:00:00","251951",2,2000,0,0,0,,,0,0,0,0,0,361,341,0,1,,,-1,,,25,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3825",,"1251 - 1272",589.83,0,,"Z001",,,,,,0,,2000
"4325",,"12/03/25 00:00:00","6588",1,500,0,0,0,,,0,0,0,0,0,389,10002,0,1,,,-1,,,8,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"4325",,,500,0,,"Z001",,,,,,0,,500
